"Country or Area"|"Year"|"Area"|"Sex"|"Age"|"Record Type"|"Reliability"|"Source Year"|"Value"|"Value Footnotes"
"Germany"|"2018"|"Total"|"Both Sexes"|"104"|"Estimate - de jure"|"Final figure, complete"|"2019"|"1234"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"105"|"Estimate - de jure"|"Final figure, complete"|"2019"|"759"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"105 - 109"|"Estimate - de jure"|"Final figure, complete"|"2019"|"1859"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"106"|"Estimate - de jure"|"Final figure, complete"|"2019"|"500"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"107"|"Estimate - de jure"|"Final figure, complete"|"2019"|"310"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"108"|"Estimate - de jure"|"Final figure, complete"|"2019"|"166"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"109"|"Estimate - de jure"|"Final figure, complete"|"2019"|"124"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"110 +"|"Estimate - de jure"|"Final figure, complete"|"2019"|"293"|"1"
"Germany"|"2018"|"Total"|"Male"|"Total"|"Estimate - de jure"|"Final figure, complete"|"2018"|"40843565"|"1"
"Germany"|"2018"|"Total"|"Male"|"0"|"Estimate - de jure"|"Final figure, complete"|"2018"|"402569"|"1"
"Germany"|"2018"|"Total"|"Male"|"0 - 4"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1974218"|"1"
"Germany"|"2018"|"Total"|"Male"|"1"|"Estimate - de jure"|"Final figure, complete"|"2018"|"407765"|"1"
"Germany"|"2018"|"Total"|"Male"|"1 - 4"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1571649"|"1"
"Germany"|"2018"|"Total"|"Male"|"2"|"Estimate - de jure"|"Final figure, complete"|"2018"|"395923"|"1"
"Germany"|"2018"|"Total"|"Male"|"3"|"Estimate - de jure"|"Final figure, complete"|"2018"|"390784"|"1"
"Germany"|"2018"|"Total"|"Male"|"4"|"Estimate - de jure"|"Final figure, complete"|"2018"|"377177"|"1"
"Germany"|"2018"|"Total"|"Male"|"5"|"Estimate - de jure"|"Final figure, complete"|"2018"|"376371"|"1"
"Germany"|"2018"|"Total"|"Male"|"5 - 9"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1871418"|"1"
"Germany"|"2018"|"Total"|"Male"|"6"|"Estimate - de jure"|"Final figure, complete"|"2018"|"367598"|"1"
"Germany"|"2018"|"Total"|"Male"|"7"|"Estimate - de jure"|"Final figure, complete"|"2018"|"376147"|"1"
